,WORLD-,,,,,,,,,,,,
TOTAL PROCEDURES,WIDE,USA,BRAZIL,JAPAN,ITALY,MEXICO,RUSSIA,INDIA,TURKEY,GERMANY,FRANCE,COLOMBIA,SPAIN
,TOTALS,,,,,,,,,,,,
Non-surgical Procedures,,,,,,,,,,,,,
Other,,,,,,,,,,,,,
Cellulite Treatment,"247,696","18,282","28,930","5,763","19,754","17,876","6,909","9,280","4,848","2,684","2,005","10,986","9,258"
Hair Removal,"1,146,523","166,254","73,370","177,444","17,646","19,069","14,699","105,600","49,140","4,366","8,018","21,668","19,038"
Non-surgical Fat Reduction,"433,351","140,778","26,565","27,190","6,256","15,719","9,943","13,460","4,068","14,561","9,196","6,968","4,960"
Tattoo Removal,"149,533","14,124","4,290","20,159","11,356","4,739","2,276","22,860","3,912",357,181,"2,715","1,693"
Treatment of Leg Veins,"68,563","6,930","4,015","7,298","2,567","2,598","5,658","2,860","2,016","1,002",314,"1,019","1,864"
Sclerotherapy,"69,355","8,118","8,415",579,"5,185","3,056","4,326","1,100","1,704","1,117",0,"2,519","3,367"
Total Other,"2,115,021","354,486","145,585","238,431","62,764","63,056","43,809","155,160","65,688","24,088","19,713","45,874","40,180"
Total Non-Surgical Procedures,"13,209,539","2,737,548","1,074,095","928,960","632,825","435,200","317,094","456,580","483,744","394,042","258,438","216,717","247,223"
Total Procedures,"23,626,909","4,217,862","2,524,115","1,137,976","957,814","923,243","896,629","878,180","789,564","730,437","517,731","505,161","473,074"